108965,1,03_CM_to_GL,5/02/2017 19:42:25 PM,Passed,5/02/2017 19:40:35 PM,basic.step,AP_Cash_Management,,,,
"Page",Record ID,Playback Time (sec),Result,"Summary",Type,
"Initialize Total (sec)",,4232,Passed,"",basic.init,
"Launch Browser: InternetExplorer 11.0.9600.18638",,3723,Passed,"",basic.step,
"Iteration Total (sec)",,104464,Passed,"",basic.iteration,
"Call Function: OracleFinancialsLibrary.web_login",,6506,Passed,"",basic.stepGroup,
"Navigate https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,202,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/RF.jsp?function_id=30290&resp_id=-1&resp_appl_id=-1&security_group_id=0&lang_code=US&params=Jknr8tW4I..B4KKQLHC-AA&oas=04JcU4po2tgHxnohZKaQCA..",,1636,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"SetText textBox(""@id='unamebean'"") TANK",,170,Passed,"",ft.action,
"SetPassword textBox(""@id='pwdbean'"") ******",,60,Passed,"",ft.action,
"Click button(""@id='SubmitButton'"")",,136,Passed,"",ft.action,
"WaitForPage https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/OA.jsp?OAFunc=OAHOMEPAGE",,1692,Passed,"",web.pageComplete,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/cabo/images/swan/t.htm)",,0,Passed,"",web.frame,
"Frame (URL=https://app-layer-oracleebs-test.ds.acc.co.nz:4475/OA_HTML/blank.html)",,0,Passed,"",web.frame,
"Call Function: OracleFinancialsLibrary.web_navigateToLink",,10491,Passed,"",basic.stepGroup,
"Click link("""")",,205,Passed,"",ft.action,
"Click link("""")",,122,Passed,"",ft.action,
"Click link("""")",,118,Passed,"",ft.action,
"Click link("""")",,100,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_waitForOracleFormsReady",,8661,Passed,"",basic.stepGroup,
"Close window(""@name='PAYMENTS_SUM_FOLDER_WINDOW'"")",,496,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10314,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5173,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2068,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,366,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP Payables Manager",,312,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1331,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other",,254,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1196,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests",,139,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,2532,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Other|Requests|Run",,1435,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,2614,Passed,"",basic.stepGroup,
"Click button(""@name='WHAT_TYPE_OK_0'"")",,550,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setTextField",,1711,Passed,"",basic.stepGroup,
"InvokeSoftKey textField(""@name='WORK_ORDER_USER_CONCURRENT_PROGRAM_NAME_0'"")",,1653,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,126,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") Ledger, , Accident Compensation Corp",,67,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,114,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") End Date, , 30-04-2017",,56,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_setFlexWindow",,141,Passed,"",basic.stepGroup,
"SetText flexWindow(""forms:flexWindow"") General Ledger Batch Name, , MTCashMgmtToGL01",,85,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_flexWindowClickOK",,2309,Passed,"",basic.stepGroup,
"ClickOk flexWindow(""forms:flexWindow"")",,255,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_clickButton",,2895,Passed,"",basic.stepGroup,
"Click button(""@name='WORK_ORDER_SUBMIT_0'"")",,840,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_getSubmitRequestIDByIndex",,82,Passed,"",basic.stepGroup,
"Call Function: OracleFinancialsLibrary.forms_waitForStatusChangedByRequestID",,33149,Passed,"",basic.stepGroup,
"Click button(""@name='JOBS_CHANGE_QUERY_0'"")",,760,Passed,"",ft.action,
"SelectItem radioGroup(""@name='JOBS_QF_WHICH_JOBS_SPECIFIC_JOBS_0'"")",,246,Passed,"",ft.action,
"SetText textField(""@name='JOBS_QF_REQUEST_ID_0'"") 71544074",,218,Passed,"",ft.action,
"Click button(""@name='JOBS_QF_FIND_0'"")",,575,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,443,Passed,"",ft.action,
"Click button(""@name='JOBS_REFRESH_0'"")",,433,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_closeWindow",,5312,Passed,"",basic.stepGroup,
"Close window(""@name='JOBS'"")",,252,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_invokeResponsibility",,10264,Passed,"",basic.stepGroup,
"SelectMenuItem window(""@name='NAVIGATOR'"") File|Switch Responsibility...",,5141,Passed,"",ft.action,
"Activate listOfValues(""forms:listOfValues"")",,2052,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectResponsibility",,295,Passed,"",basic.stepGroup,
"Select listOfValues(""forms:listOfValues"") CORP General Ledger Superuser",,238,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1188,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals",,135,Passed,"",ft.action,
"Call Function: OracleFinancialsLibrary.forms_selectNavigator_function",,1672,Passed,"",basic.stepGroup,
"SelectItem treeList(""@name='NAVIGATOR_LIST_0'"") Journals|Post",,621,Passed,"",ft.action,
"Finish Total (sec)",,43,Passed,"",basic.finish,
